recipe_id,item_id,qty
beff3739-4066-48c4-a220-913ad5f28292,790a5ea3-1e6e-4ae1-8ab3-01a173230d53,2
605dadaf-84b3-4c3c-809c-6102c8256d27,851d844d-665d-43c7-a1db-0520217763a4,2
58399417-4d62-475a-ac73-6bfbcef85a2a,ffc8938c-3717-46c5-bd3c-05caf61cbef7,1
b4d85288-ed87-4f8a-a5d6-a282c4fc773e,c1a61f90-21cf-4f31-8a3b-07af1b65f598,1
3fc7f1fe-eea8-482d-9d3f-4ded02328797,ad923865-d6aa-4b66-970c-07bdd9843430,1
98a5f86e-9ba9-45e3-b6da-a5caf9573df3,17a2dc10-8595-4070-a9c8-07f6fe4d67a6,1
41716a64-6fa3-480a-9aa7-41d235b8acee,c4852161-9316-4799-9ff5-0a27b5f666a5,1
2af03750-ef87-470d-aad4-54eafe268c9e,c871ea93-c6fc-424a-b966-0a484edf7a24,1
87902537-dc35-4223-ab33-33de4eac63d5,92446ad6-ee31-45a9-9ea1-0cc1fb8dbf4a,1
43583dd7-2193-4db5-830c-197debf21dd6,01c97963-4c01-420e-937d-0e1b387a5af3,1
1345dbd0-244b-42e6-b2fc-ff18904a782b,b1ba37cf-74fc-4fb8-968d-0ebff3bfe636,2
4adbff03-ff99-48ce-ac89-73e284fff179,9f31ec38-fc74-4818-8e63-10708587a99f,1
198608a9-4b1b-49d9-bf25-3ae4cb93e1fe,454b753b-cde0-4a2a-b177-10afc672db01,1
43ec3415-0be5-4b88-9a04-0504edc1ce7c,01b4b4f9-ddb2-4897-bd6a-1196f2333bce,1
8bece835-f55b-4441-b05b-b2c79808465e,9ab1edc9-5b5c-4fe7-ad7f-14c4bb3eec1c,2
89358222-f533-482f-a49d-3ce0881c52e6,b07b2f1d-3bd7-486d-b507-14e6ebf532e3,1
46d82234-a9fe-4943-a2bc-7138e4f02949,a5039560-fec2-4aaf-8a56-158a4f95db45,1
95f24a6b-972c-4128-b1c0-f8c3956497fc,bac11ce9-7fe4-4cb1-a16b-18040d3e0c3a,1
32fa70a9-b979-4adc-90f4-1001a462a934,473a4159-6e7f-41e2-ab58-18081f5bcba0,1
b1451405-e1ae-43fa-9e24-16819992a7fa,264c3a0b-c60d-4947-9406-193d5e09123f,1
daf37f54-c968-4719-a953-1b1a41075530,4ea164d2-5ff9-42d8-b1a9-195e66d6b541,3
c1e6a8af-21e1-45ec-b287-287905d8803b,e56e407e-4274-41ab-a553-1a8f2d1db525,1
1bda36fb-fb45-4c43-a9c9-41bd01add44d,7a72aa5f-92f0-4f6a-8e48-1abe5c1f6850,1
1d6adcb6-cfcf-40e5-b1cf-c27c01b5b043,7a72aa5f-92f0-4f6a-8e48-1abe5c1f6850,2
048211d3-015e-40ff-b9b2-ce6f19884dba,f731bca9-1bc7-4d45-8436-1b1565282fa4,1
fbe539a0-845e-4959-800b-4aeb925f25c5,56efb773-dc1e-48e7-8c49-2075aa54b953,1
77afbf23-df71-4bc0-99bb-ddae8392de0f,88081acc-f356-46a3-943f-25826c94bfa3,1
adcfc898-abf3-4700-866a-21085ae127bb,4d941e6a-ba1f-4237-8429-27c0bda34909,1
d9bef748-0ed3-4dd3-8caa-0c9d1ec67c3b,7449d1a0-247a-4be4-a747-283bfddee9f3,2
2b49c52a-e230-453c-9e41-a800526cab3a,aae96e84-ea54-408b-b6df-29b79454a04b,1
e90fd766-bbca-41f1-9244-cffd03edbc42,b168631e-0f97-4f35-8fe8-29c19d51915d,1
304652f0-0017-4977-8cba-3bd155324f7c,94cc04ea-d7c0-4710-9515-2f89336c6a13,1
100e0cec-6b18-449c-beab-2f258f7036a0,6a2a31b2-dc71-4662-90f8-30f1c02742db,1
5a7aabe9-328d-40c4-b54a-f681e98abb3c,ecebd59d-d5a7-4e8d-91f0-319b16f641b7,1
f782c9b6-2c84-4c18-a718-13021e0fba05,72cb4e75-67a8-43ea-9983-32be914d3a1d,2
85bfb892-a6bd-4d78-be50-de8271cdab8e,72cb4e75-67a8-43ea-9983-32be914d3a1d,1
b51c6490-b028-46bf-84de-834c90257eb7,b66a27fb-0b09-446a-8429-345cd71b0597,1
f9c46d1a-7e1d-42e2-bf0c-d4e6094e00f9,a9fbe6ff-37fc-4433-be60-34e4154ee85c,1
59ccb172-468b-41f4-8c3c-9f23aec0bfa6,d1c71f9c-a26e-4a18-afdd-34e70a90d895,1
b472fc42-f628-4b9e-8b3c-315e95b1de31,0ebca1c3-4ee5-4f36-a7b5-353ab9b3c0ce,1
efc20044-7646-4781-ad8f-2f27f92177a8,4bbc87f7-a025-4741-947f-375d53d75031,1
d367bec3-1b67-47b3-a75c-cb186ec7c99c,4bbc87f7-a025-4741-947f-375d53d75031,5
5765099a-ebb9-4527-9f7e-b47800813bf9,edc4be2b-5bb7-4cce-b01d-38247ff0fdb0,1
1248e0c3-56f7-4e41-b1af-a13da26612b1,f2de9444-0347-4c09-a077-39095e5b7d66,1
e2d7b191-8cbb-4685-98e1-aa9a7c7373f7,2ecbc6f2-fcab-495a-9993-3d13a5b74ce6,1
d7338316-c17f-4d1f-85e3-be52edf1afda,951b070f-e068-4160-b4ea-3ded2f48ee01,1
f2732a58-6451-4652-ada3-05b1a8bf4212,1c902da4-c3dc-4344-9346-3e38d6831423,1
d9c8d1e2-80b2-4c69-86f1-4339154050b4,1c902da4-c3dc-4344-9346-3e38d6831423,1
bb5b0d98-d54a-4106-b0fb-59807a2ced15,1c902da4-c3dc-4344-9346-3e38d6831423,3
da7e1bcb-a287-4d3b-9b81-a533d53a156b,1c902da4-c3dc-4344-9346-3e38d6831423,2
e827bf53-d9b0-455c-9e95-38e9b0deb92d,88e61c5f-c9ac-4745-9f6d-3fb63a58dea8,1
f5639710-38f8-4c25-84f7-68c8faea0943,1c7aac42-cecc-4fe4-8204-421fc39dc6c0,1
eabc7e21-fdee-487a-9cb5-670484dce987,e761c6ea-0346-4f97-ad8b-42986696d7ce,2
032e8717-83e6-4f1a-b672-3d824b24ceb1,1635b322-0711-4d61-a0cd-4320e07b9c6f,1
e3e86909-3197-4c76-8e83-05408216bc88,1a11b273-568f-4c73-84ff-4550dab72e25,1
30322e4f-20cc-40b1-b559-ae54cc2578e9,bed839ae-4220-4928-b9f8-4663036afc8a,1
866118f7-2dd6-4872-9514-09830fbcff3c,9f06b031-85cd-45d1-9b7b-46b382d63f9a,1
3ae33a4f-c9d0-4668-a35f-6a29a6667a1a,b97fd052-5166-4f11-ac42-48703d3d59f6,1
fef26697-a1c3-48af-9753-b67ebf0ae426,b027059f-641b-4b29-ab51-4c14f451b822,1
78fb3569-707f-4f7e-9661-1329b62cacdf,3a2d3b4d-1647-4b94-a505-4ddbc912d619,1
ccac5d94-ce31-4305-938e-889d035f20db,aae529c5-b2b8-4da0-937e-51ee4bfda549,1
617e8c84-3282-4be3-be25-f00e4fe20ca2,2786ff93-c583-46eb-b512-5467f64f5087,1
0f6211b7-f60f-4484-b299-618e71485007,3658af33-8c8d-4e46-a8fe-54b1fe68b6ea,1
a0fc1934-f72b-4baa-9a97-9d16204fb46c,ce2f1343-ab65-4921-89dd-5755027a3f3b,2
45d04609-d89c-497e-8100-4a82b5fd6516,aadbf045-5c7f-4dc4-9dc3-577a6660fb98,1
81d618d3-da71-403d-9fd0-742a3e1ec12f,d8e0967d-5e67-4830-a48a-57d3045def84,1
993a4621-565f-4d11-bbff-53fef321c597,012ec409-cb79-4b9e-880d-5889652bb91d,1
b985ed64-c769-48c5-a682-d224fa576377,608e1e77-f190-4a62-8d48-58ca8ab14a25,1
26aea9bb-5592-411c-a38c-40241d48bab2,8b44aead-055f-48b2-855d-59d7e7993a53,1
2af31458-c66f-4295-88f5-bbb3e1ce5067,8b44aead-055f-48b2-855d-59d7e7993a53,1
15e4328d-a191-43c5-aa39-0c2c2662d68c,f1884be6-0a1e-46e4-829c-5abaaac5107b,1
8cabd80c-9588-4361-9368-7b2986037925,72aa5a70-d7eb-4fbc-aa57-5c1f7ed3a570,1
69316a74-1d06-428a-b836-c211613b640a,a1530e75-fdb4-4fd6-9f04-6b658d223981,1
c4246948-228c-4cda-9cf3-b19f61292b5d,666a90d9-a71a-41ee-8aa1-6d05dea8b450,1
206cfbb1-fb81-409d-8d31-15b18757d48a,bd889b14-c1be-432d-9761-6ec6bd138c22,1
125238ff-a180-431c-a270-bfab13bd46c7,e528abd5-f5ba-4c2a-8f93-6efca57a58b8,4
8ec3964d-462e-48c9-b73b-a13807a5d6c9,04dc63c2-cf97-489f-8591-726e449b713d,1
26655126-e7d7-4ccf-8d79-dc3c4a9ccc0c,51bec4b1-fae4-4ca0-ad8f-741827dd31f2,1
71ce215d-6a15-4c53-b46a-4c707c38475d,1fb47005-d572-4686-a945-74b071dd76b8,1
971c33d1-3ae4-4fce-9154-556e5b630fe8,6fa9c753-3955-40f0-96f4-76c704283227,1
5c959011-5d91-48ef-9735-3e26cfaf4d9c,d537b536-f414-41d2-9108-82234836b3fa,1
22518ad5-b112-4b5a-b72d-0ec8a2217129,efb8a06d-934b-4566-a660-82b65da4329b,1
4a923fe0-ca60-4500-8c4d-6c3f2c4a662e,340c88ad-24ad-456e-abff-82ccf34d08e6,1
336ec9cb-deb7-4ee4-897a-73a8941b93f0,9fd95543-7c3e-4e30-bd64-83a897ae8404,1
fd964ccf-018d-49ff-8f76-dfb98640d3d9,919ea281-2cd0-4bc4-86d4-84eb96bceaec,8
a4f3f877-3c74-40df-bc40-829f8ac12c42,0a650b26-3535-494c-9f95-84fee8f62750,1
430a99d6-ea15-4f9c-8018-7a791ef3136a,64776bc6-7181-4b67-80f2-86c682fdfa6c,1
7f15fd5e-ca03-41d8-bee9-1316108d6fb8,f31478e4-42fd-435d-a566-8879062e370f,2
5879b5d9-531b-43cd-aee0-eebd0f504dca,f31478e4-42fd-435d-a566-8879062e370f,2
2b3c65d9-92d7-49bb-8c59-df8dd1d341bc,a4691cce-4e3b-49d4-83fb-88b741323185,2
